,Date,Country,City,State,Company,Type,Keywords
205,2022-02-24,France,Boulogne-Billancourt,Boulogne-Billancourt,Media company,Ransomware,"Île-de-France, Département Hauts-de-Seine,Groupe Amaury"
206,2022-02-24,Ukraine,Kyiv,Kyiv,Internet provider,In process of analysis,Тріолан (Triolan)
207,2022-02-24,Ukraine,Missing,Missing,Universities,In process of analysis,"College, University, Research"
208,2022-02-24,Ukraine,Missing,Missing,Government organizations,Wiper,"Government,Administration, Authority, Government, Public sector"
209,2022-02-24,United Kingdom,Newark,Newark,Construction,In process of analysis,"England, Nottinghamshire, Construction,United Kingdom,Caledonian Modular"
210,2022-02-24,USA,Augusta AR,AR,Healthcare provider,In process of analysis,"Arkansas, Healthcare,Arcare"
211,2022-02-24,USA,Carlsbad CA,CA,Satellite network,In process of analysis,"California,Viasat / KA-SAT"
212,2022-02-24,USA,Spokane WA,WA,Health district,In process of analysis,"Washington, Spokane County, Healthcare,Administration, Authority, Government, Public sector,Spokane Regional Health District (SRHD)"
213,2022-02-25,Canada,Sept-Îles QC,QC,Aluminum manufacturing,In process of analysis,"Québec,Aluminerie Alouette"
214,2022-02-25,Switzerland,Echallens VD,VD,Kindergarten association,Ransomware,"Canton of Vaud,Association pour l'entraide familiale et l'accueil de jour des enfants du Gros-de-Vaud et environs (EFAJE)"
215,2022-02-25,Germany,Essen,NW,Media company,In process of analysis,"North Rhine-Westphalia,Funke Mediengruppe"
216,2022-02-25,Russia,Moscow,Moscow,TV station,DDoS attack,RT
